[*] Connected to USB device: Device(id="emulator-5554", name="Android Emulator 5554", type='usb')
设备上运行的进程28:Process(pid=1420, name="android.hardware.graphics.composer@2.1-service", parameters={})
设备上运行的进程29:Process(pid=1421, name="android.hardware.health@2.0-service.default", parameters={})
设备上运行的进程30:Process(pid=1422, name="android.hardware.light@2.0-service", parameters={})
设备上运行的进程31:Process(pid=1423, name="android.hardware.oemlock@1.0-service.default", parameters={})
设备上运行的进程32:Process(pid=1424, name="android.hardware.power@1.1-service.default", parameters={})
设备上运行的进程33:Process(pid=1425, name="android.hardware.sensors@1.0-service", parameters={})
设备上运行的进程34:Process(pid=1426, name="android.hardware.usb@1.0-service", parameters={})
设备上运行的进程35:Process(pid=1427, name="android.hardware.vibrator@1.0-service.default", parameters={})
设备上运行的进程36:Process(pid=1428, name="android.hardware.wifi@1.0-service", parameters={})
设备上运行的进程37:Process(pid=1429, name="ldinit", parameters={})
设备上运行的进程38:Process(pid=1430, name="audioserver", parameters={})
设备上运行的进程39:Process(pid=1431, name="lmkd", parameters={})
设备上运行的进程40:Process(pid=1432, name="surfaceflinger", parameters={})
设备上运行的进程41:Process(pid=1433, name="thermalserviced", parameters={})
设备上运行的进程42:Process(pid=1436, name="iptables-restore", parameters={})
设备上运行的进程43:Process(pid=1437, name="ip6tables-restore", parameters={})
设备上运行的进程44:Process(pid=1444, name="sh", parameters={})
设备上运行的进程45:Process(pid=1446, name="traced", parameters={})
设备上运行的进程46:Process(pid=1447, name="traced_probes", parameters={})
设备上运行的进程47:Process(pid=1449, name="cameraserver", parameters={})
设备上运行的进程48:Process(pid=1450, name="drmserver", parameters={})
设备上运行的进程49:Process(pid=1451, name="incidentd", parameters={})
设备上运行的进程50:Process(pid=1452, name="installd", parameters={})
设备上运行的进程51:Process(pid=1453, name="keystore", parameters={})
设备上运行的进程52:Process(pid=1454, name="mediadrmserver", parameters={})
设备上运行的进程53:Process(pid=1455, name="media.extractor", parameters={})
设备上运行的进程54:Process(pid=1456, name="media.metrics", parameters={})
设备上运行的进程55:Process(pid=1457, name="mediaserver", parameters={})
设备上运行的进程56:Process(pid=1458, name="statsd", parameters={})
设备上运行的进程57:Process(pid=1459, name="storaged", parameters={})
设备上运行的进程58:Process(pid=1460, name="wificond", parameters={})
设备上运行的进程59:Process(pid=1461, name="media.codec", parameters={})
设备上运行的进程60:Process(pid=1463, name="rild", parameters={})
设备上运行的进程61:Process(pid=1464, name="gatekeeperd", parameters={})
设备上运行的进程62:Process(pid=1465, name="perfprofd", parameters={})
设备上运行的进程63:Process(pid=1467, name="tombstoned", parameters={})
设备上运行的进程64:Process(pid=1470, name="su", parameters={})
设备上运行的进程65:Process(pid=1569, name="system_server", parameters={})
设备上运行的进程66:Process(pid=1706, name="com.android.bluetooth", parameters={})
设备上运行的进程67:Process(pid=1718, name="com.android.systemui", parameters={})
设备上运行的进程68:Process(pid=1758, name="webview_zygote", parameters={})
设备上运行的进程69:Process(pid=1891, name="com.android.phone", parameters={})
设备上运行的进程70:Process(pid=1961, name="android.ext.services", parameters={})
设备上运行的进程71:Process(pid=2142, name="com.android.se", parameters={})
设备上运行的进程72:Process(pid=2147, name="com.android.coreservice", parameters={})
设备上运行的进程73:Process(pid=2194, name="com.android.launcher3", parameters={})
设备上运行的进程74:Process(pid=2220, name="com.google.android.gms", parameters={})
设备上运行的进程75:Process(pid=2275, name="com.android.smspush", parameters={})
设备上运行的进程76:Process(pid=2316, name="com.google.process.gapps", parameters={})
设备上运行的进程77:Process(pid=2343, name="com.android.inputmethod.pinyin", parameters={})
设备上运行的进程78:Process(pid=2513, name="adbd", parameters={})
设备上运行的进程79:Process(pid=2519, name="mdnsd", parameters={})
设备上运行的进程80:Process(pid=2568, name="雷电游戏中心", parameters={})
设备上运行的进程81:Process(pid=2862, name="Google Play 商店", parameters={})
设备上运行的进程82:Process(pid=2987, name="Google Play 游戏", parameters={})
设备上运行的进程83:Process(pid=3135, name="com.google.android.gms.unstable", parameters={})
设备上运行的进程84:Process(pid=3509, name="com.google.android.gms.persistent", parameters={})
设备上运行的进程85:Process(pid=3927, name="com.android.flysilkworm:filedownloader", parameters={})
设备上运行的进程86:Process(pid=3945, name="com.android.flysilkworm:LdPushService", parameters={})
设备上运行的进程87:Process(pid=4017, name="sh", parameters={})
设备上运行的进程88:Process(pid=4061, name="设置", parameters={})
设备上运行的进程89:Process(pid=4091, name="su", parameters={})
设备上运行的进程90:Process(pid=4092, name="su", parameters={})
设备上运行的进程91:Process(pid=4097, name="su", parameters={})
设备上运行的进程92:Process(pid=4105, name="su", parameters={})
设备上运行的进程93:Process(pid=4110, name="sh", parameters={})
设备上运行的进程94:Process(pid=4137, name="frida-server", parameters={})
设备上运行的进程95:Process(pid=4139, name="logcat", parameters={})
设备上运行的进程96:Process(pid=4153, name="memfd:frida-helper-32 (deleted)", parameters={})
设备上运行的进程97:Process(pid=4289, name="com.firstsechk.tc.trade", parameters={})
设备上运行的进程98:Process(pid=4485, name="com.android.webview:webview_service", parameters={})
设备上运行的进程99:Process(pid=4502, name="第一证券(香港)", parameters={})
[*] Attached to target app: com.firstsechk.tc.trade
key : android.widget.LinearLayout{f2add51 V.E...... .......D 0,0-1080,1920}
val : Rect(0, 0 - 1080, 1920)
key : android.view.View{25519b6 V.ED..... ........ 0,0-1080,72 #102002f android:id/statusBarBackground}
val : Rect(0, 0 - 1080, 72)
key : com.afe.mobilecore.tcuicomponent.UCStatusView{8080ec0 V.E...... ........ 0,1810-1080,1848 #7f09066c app:id/statusView}
val : Rect(0, 1810 - 1080, 1848)
key : android.widget.FrameLayout{4d596b7 V.E...... .......D 0,0-1080,1810 #7f0901ee app:id/frame_Main}
val : Rect(0, 0 - 1080, 1810)
key : android.widget.RelativeLayout{b671e24 V.E...... ........ 0,0-1080,144 #7f09076c app:id/viewTitle}
val : Rect(0, 0 - 1080, 144)
key : android.view.View{9eefd8d V.ED..... ........ 0,144-1080,150 #7f09074b app:id/viewSep}
val : Rect(0, 144 - 1080, 150)
key : android.widget.ImageView{4111b42 V.ED..... ........ 0,144-39,183 #7f09022e app:id/imgView_imgSep}
val : Rect(0, 144 - 39, 183)
key : android.widget.ImageView{8a2e753 V.ED..... ........ 0,183-1080,308 #7f09022c app:id/imgView_appTopLogo}
val : Rect(0, 183 - 1080, 308)
key : android.widget.EditText{d09f890 VFED..CL. .F.P..ID 193,347-887,434 #7f0906cc app:id/txt_EditID}
val : Rect(193, 347 - 887, 434)
key : android.widget.EditText{65ae589 VFED..CL. ........ 193,473-887,560 #7f0906cd app:id/txt_EditPwd}
val : Rect(193, 473 - 887, 560)
key : android.widget.Button{799a98e VFED..C.. ........ 193,599-887,686 #7f0900a8 app:id/btn_Login}
val : Rect(193, 599 - 887, 686)
key : android.widget.Button{feaa5af VFED..C.. ........ 193,725-540,802 #7f0900c0 app:id/btn_OpenAccount}
val : Rect(193, 725 - 540, 802)
key : android.widget.Button{9be0dbc VFED..C.. ........ 540,725-887,802 #7f0900e3 app:id/btn_ResetPwd}
val : Rect(540, 725 - 887, 802)
key : android.widget.LinearLayout{9835145 V.E...... ........ 136,1694-943,1771}
val : Rect(136, 1694 - 943, 1771)
key : android.widget.ImageView{ad09a V.ED..... ........ 0,0-1080,42 #7f09021c app:id/imgTitleTop}
val : Rect(0, 0 - 1080, 42)
key : com.afe.mobilecore.customctrl.CustImageButton{145edcb VFED..C.. ........ 0,0-125,144 #7f090071 app:id/btn_Back}
val : Rect(0, 0 - 125, 144)
key : android.widget.TextView{f3c49a8 V.ED..... ........ 0,42-1080,144 #7f0906e4 app:id/txt_Title}
val : Rect(0, 42 - 1080, 144)
key : android.widget.Button{b0cbcc1 VFED..C.. ........ 19,0-250,77 #7f09008b app:id/btn_Disclaimer}
val : Rect(19, 0 - 250, 77)
key : android.widget.Button{4355c66 VFED..C.. ........ 288,0-519,77 #7f090084 app:id/btn_Contact}
val : Rect(288, 0 - 519, 77)
key : android.widget.Button{9c39ba7 VFED..C.. ........ 557,0-788,77 #7f0900df app:id/btn_RegToken}
val : Rect(557, 0 - 788, 77)
key : android.widget.TextView{be05854 V.ED..... ........ 19,0-733,38 #7f090565 app:id/lbl_Copyright}
val : Rect(19, 0 - 733, 38)
key : android.widget.TextView{e6763fd V.ED..... ........ 733,0-1061,38 #7f090574 app:id/lbl_Extra}
val : Rect(733, 0 - 1061, 38)
key : textColor
val : textColor:  -617954  -617954
key : textColor
val : textColor:  -3523003  -3523003
key :
val : :  0.0  1.0
key : android.widget.TextView{a8e3993 V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
val : AnimatorSet@3cb42f9{
    ValueAnimator@52ad8f2
    :  0.0  1.0
    ObjectAnimator@e844b43, target android.widget.TextView{a8e3993 V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
    textColor:  -617954  -617954
    ObjectAnimator@614a5c0, target android.widget.TextView{a8e3993 V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
    textColor:  -3523003  -3523003
}
key : textColor
val : textColor:  -617954  -617954
key : textColor
val : textColor:  -3523003  -3523003
key :
val : :  0.0  1.0
key : android.widget.TextView{455133f V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
val : AnimatorSet@cf415b5{
    ValueAnimator@189923e
    :  0.0  1.0
    ObjectAnimator@c16589f, target android.widget.TextView{455133f V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
    textColor:  -617954  -617954
    ObjectAnimator@e7e5dec, target android.widget.TextView{455133f V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
    textColor:  -3523003  -3523003
}
key : textColor
val : textColor:  -617954  -617954
key : textColor
val : textColor:  -3523003  -3523003
key :
val : :  0.0  1.0
key : android.widget.TextView{5cb91f7 V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
val : AnimatorSet@19d5831{
    ValueAnimator@188944a
    :  0.0  1.0
    ObjectAnimator@f91dfbb, target android.widget.TextView{5cb91f7 V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
    textColor:  -617954  -617954
    ObjectAnimator@8e96cd8, target android.widget.TextView{5cb91f7 V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
    textColor:  -3523003  -3523003
}
key : textColor
val : textColor:  -617954  -617954
key : textColor
val : textColor:  -3523003  -3523003
key :
val : :  0.0  1.0
key : android.widget.TextView{a0405c2 V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
val : AnimatorSet@fbe466d{
    ValueAnimator@7c3ab16
    :  0.0  1.0
    ObjectAnimator@574bc97, target android.widget.TextView{a0405c2 V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
    textColor:  -617954  -617954
    ObjectAnimator@7f47e84, target android.widget.TextView{a0405c2 V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
    textColor:  -3523003  -3523003
}
key : textColor
val : textColor:  -617954  -617954
key : textColor
val : textColor:  -3523003  -3523003
key :
val : :  0.0  1.0
key : android.widget.TextView{a8e3993 V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
val : AnimatorSet@385dc69{
    ValueAnimator@2c762a2
    :  0.0  1.0
    ObjectAnimator@a3e8b33, target android.widget.TextView{a8e3993 V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
    textColor:  -617954  -617954
    ObjectAnimator@77cfef0, target android.widget.TextView{a8e3993 V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
    textColor:  -3523003  -3523003
}
key : textColor
val : textColor:  -617954  -617954
key : textColor
val : textColor:  -3523003  -3523003
key :
val : :  0.0  1.0
key : android.widget.TextView{455133f V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
val : AnimatorSet@316d625{
    ValueAnimator@b5d06ee
    :  0.0  1.0
    ObjectAnimator@8cca78f, target android.widget.TextView{455133f V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
    textColor:  -617954  -617954
    ObjectAnimator@1cb1a1c, target android.widget.TextView{455133f V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
    textColor:  -3523003  -3523003
}
key : textColor
val : textColor:  -617954  -617954
key : textColor
val : textColor:  -3523003  -3523003
key :
val : :  0.0  1.0
key : android.widget.TextView{5cb91f7 V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
val : AnimatorSet@a03afa1{
    ValueAnimator@b96a3fa
    :  0.0  1.0
    ObjectAnimator@2762dab, target android.widget.TextView{5cb91f7 V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
    textColor:  -617954  -617954
    ObjectAnimator@b7dbc08, target android.widget.TextView{5cb91f7 V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
    textColor:  -3523003  -3523003
}
key : textColor
val : textColor:  -617954  -617954
key : textColor
val : textColor:  -3523003  -3523003
key :
val : :  0.0  1.0
key : android.widget.TextView{a0405c2 V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
val : AnimatorSet@8aa4dd{
    ValueAnimator@a9b05c6
    :  0.0  1.0
    ObjectAnimator@ce7f987, target android.widget.TextView{a0405c2 V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
    textColor:  -617954  -617954
    ObjectAnimator@23690b4, target android.widget.TextView{a0405c2 V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
    textColor:  -3523003  -3523003
}
key : textColor
val : textColor:  -617954  -617954
key : textColor
val : textColor:  -3523003  -3523003
key :
val : :  0.0  1.0
key : android.widget.TextView{a8e3993 V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
val : AnimatorSet@a91b1d9{
    ValueAnimator@931b852
    :  0.0  1.0
    ObjectAnimator@1c0a723, target android.widget.TextView{a8e3993 V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
    textColor:  -617954  -617954
    ObjectAnimator@a060420, target android.widget.TextView{a8e3993 V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
    textColor:  -3523003  -3523003
}
key : textColor
val : textColor:  -617954  -617954
key : textColor
val : textColor:  -3523003  -3523003
key :
val : :  0.0  1.0
key : android.widget.TextView{455133f V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
val : AnimatorSet@a629295{
    ValueAnimator@b0f079e
    :  0.0  1.0
    ObjectAnimator@bec927f, target android.widget.TextView{455133f V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
    textColor:  -617954  -617954
    ObjectAnimator@597424c, target android.widget.TextView{455133f V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
    textColor:  -3523003  -3523003
}
key : textColor
val : textColor:  -617954  -617954
key : textColor
val : textColor:  -3523003  -3523003
key :
val : :  0.0  1.0
key : android.widget.TextView{5cb91f7 V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
val : AnimatorSet@326c311{
    ValueAnimator@8dfffaa
    :  0.0  1.0
    ObjectAnimator@ec1d79b, target android.widget.TextView{5cb91f7 V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
    textColor:  -617954  -617954
    ObjectAnimator@51c3738, target android.widget.TextView{5cb91f7 V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
    textColor:  -3523003  -3523003
}
key : textColor
val : textColor:  -617954  -617954
key : textColor
val : textColor:  -3523003  -3523003
key :
val : :  0.0  1.0
key : android.widget.TextView{a0405c2 V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
val : AnimatorSet@7237f4d{
    ValueAnimator@7166c76
    :  0.0  1.0
    ObjectAnimator@2dc5277, target android.widget.TextView{a0405c2 V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
    textColor:  -617954  -617954
    ObjectAnimator@7f98ee4, target android.widget.TextView{a0405c2 V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
    textColor:  -3523003  -3523003
}
key : textColor
val : textColor:  -617954  -617954
key : textColor
val : textColor:  -3523003  -3523003
key :
val : :  0.0  1.0
key : android.widget.TextView{a8e3993 V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
val : AnimatorSet@db5c349{
    ValueAnimator@d74da02
    :  0.0  1.0
    ObjectAnimator@4b99f13, target android.widget.TextView{a8e3993 V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
    textColor:  -617954  -617954
    ObjectAnimator@d32b550, target android.widget.TextView{a8e3993 V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
    textColor:  -3523003  -3523003
}
key : textColor
val : textColor:  -617954  -617954
key : textColor
val : textColor:  -3523003  -3523003
key :
val : :  0.0  1.0
key : android.widget.TextView{455133f V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
val : AnimatorSet@d0e4b05{
    ValueAnimator@b5a944e
    :  0.0  1.0
    ObjectAnimator@115196f, target android.widget.TextView{455133f V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
    textColor:  -617954  -617954
    ObjectAnimator@e95d67c, target android.widget.TextView{455133f V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
    textColor:  -3523003  -3523003
}
key : textColor
val : textColor:  -617954  -617954
key : textColor
val : textColor:  -3523003  -3523003
key :
val : :  0.0  1.0
key : android.widget.TextView{5cb91f7 V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
val : AnimatorSet@3ad9281{
    ValueAnimator@4cfa75a
    :  0.0  1.0
    ObjectAnimator@b03dd8b, target android.widget.TextView{5cb91f7 V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
    textColor:  -617954  -617954
    ObjectAnimator@2a7de68, target android.widget.TextView{5cb91f7 V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
    textColor:  -3523003  -3523003
}
key : textColor
val : textColor:  -617954  -617954
key : textColor
val : textColor:  -3523003  -3523003
key :
val : :  0.0  1.0
key : android.widget.TextView{a0405c2 V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
val : AnimatorSet@d9fd5bd{
    ValueAnimator@450df26
    :  0.0  1.0
    ObjectAnimator@7d0c767, target android.widget.TextView{a0405c2 V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
    textColor:  -617954  -617954
    ObjectAnimator@1507914, target android.widget.TextView{a0405c2 V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
    textColor:  -3523003  -3523003
}
key : textColor
val : textColor:  -617954  -617954
key : textColor
val : textColor:  -14446333  -14446333
key :
val : :  0.0  1.0
key : android.widget.TextView{656c828 V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
val : AnimatorSet@17910b9{
    ValueAnimator@d5bc7b2
    :  0.0  1.0
    ObjectAnimator@c987303, target android.widget.TextView{656c828 V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
    textColor:  -617954  -617954
    ObjectAnimator@7461280, target android.widget.TextView{656c828 V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
    textColor:  -14446333  -14446333
}
key : textColor
val : textColor:  -617954  -617954
key : textColor
val : textColor:  -14446333  -14446333
key :
val : :  0.0  1.0
key : android.widget.TextView{a684685 V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
val : AnimatorSet@110ff75{
    ValueAnimator@bbaacfe
    :  0.0  1.0
    ObjectAnimator@9a53c5f, target android.widget.TextView{a684685 V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
    textColor:  -617954  -617954
    ObjectAnimator@439d6ac, target android.widget.TextView{a684685 V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
    textColor:  -14446333  -14446333
}
key : textColor
val : textColor:  -617954  -617954
key : textColor
val : textColor:  -14446333  -14446333
key :
val : :  0.0  1.0
key : android.widget.TextView{b56e60d V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
val : AnimatorSet@9ff1df1{
    ValueAnimator@b909b0a
    :  0.0  1.0
    ObjectAnimator@f8b3f7b, target android.widget.TextView{b56e60d V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
    textColor:  -617954  -617954
    ObjectAnimator@fc3b198, target android.widget.TextView{b56e60d V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
    textColor:  -14446333  -14446333
}
key : textColor
val : textColor:  -617954  -617954
key : textColor
val : textColor:  -14446333  -14446333
key :
val : :  0.0  1.0
key : android.widget.TextView{92f4101 V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
val : AnimatorSet@1d6a82d{
    ValueAnimator@6255dd6
    :  0.0  1.0
    ObjectAnimator@a045857, target android.widget.TextView{92f4101 V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
    textColor:  -617954  -617954
    ObjectAnimator@10e4f44, target android.widget.TextView{92f4101 V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
    textColor:  -14446333  -14446333
}
key : textColor
val : textColor:  -617954  -617954
key : textColor
val : textColor:  -14446333  -14446333
key :
val : :  0.0  1.0
key : android.widget.TextView{656c828 V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
val : AnimatorSet@a229a29{
    ValueAnimator@f718162
    :  0.0  1.0
    ObjectAnimator@c8c22f3, target android.widget.TextView{656c828 V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
    textColor:  -617954  -617954
    ObjectAnimator@5431bb0, target android.widget.TextView{656c828 V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
    textColor:  -14446333  -14446333
}
key : textColor
val : textColor:  -617954  -617954
key : textColor
val : textColor:  -14446333  -14446333
key :
val : :  0.0  1.0
key : android.widget.TextView{a684685 V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
val : AnimatorSet@821afe5{
    ValueAnimator@6a51ae
    :  0.0  1.0
    ObjectAnimator@cbbfb4f, target android.widget.TextView{a684685 V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
    textColor:  -617954  -617954
    ObjectAnimator@b642dc, target android.widget.TextView{a684685 V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
    textColor:  -14446333  -14446333
}
key : textColor
val : textColor:  -617954  -617954
key : textColor
val : textColor:  -14446333  -14446333
key :
val : :  0.0  1.0
key : android.widget.TextView{b56e60d V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
val : AnimatorSet@c426561{
    ValueAnimator@a0ddaba
    :  0.0  1.0
    ObjectAnimator@666fd6b, target android.widget.TextView{b56e60d V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
    textColor:  -617954  -617954
    ObjectAnimator@6d2b0c8, target android.widget.TextView{b56e60d V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
    textColor:  -14446333  -14446333
}
key : textColor
val : textColor:  -617954  -617954
key : textColor
val : textColor:  -14446333  -14446333
key :
val : :  0.0  1.0
key : android.widget.TextView{92f4101 V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
val : AnimatorSet@55ef69d{
    ValueAnimator@d2ee886
    :  0.0  1.0
    ObjectAnimator@5760547, target android.widget.TextView{92f4101 V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
    textColor:  -617954  -617954
    ObjectAnimator@4c61174, target android.widget.TextView{92f4101 V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
    textColor:  -14446333  -14446333
}
key : textColor
val : textColor:  -617954  -617954
key : textColor
val : textColor:  -3523003  -3523003
key :
val : :  0.0  1.0
key : android.widget.TextView{a8e3993 V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
val : AnimatorSet@bb95f99{
    ValueAnimator@3010712
    :  0.0  1.0
    ObjectAnimator@183aee3, target android.widget.TextView{a8e3993 V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
    textColor:  -617954  -617954
    ObjectAnimator@aecd0e0, target android.widget.TextView{a8e3993 V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
    textColor:  -3523003  -3523003
}
key : textColor
val : textColor:  -617954  -617954
key : textColor
val : textColor:  -3523003  -3523003
key :
val : :  0.0  1.0
key : android.widget.TextView{455133f V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
val : AnimatorSet@fb75c55{
    ValueAnimator@264825e
    :  0.0  1.0
    ObjectAnimator@738563f, target android.widget.TextView{455133f V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
    textColor:  -617954  -617954
    ObjectAnimator@fe1b0c, target android.widget.TextView{455133f V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
    textColor:  -3523003  -3523003
}
key : textColor
val : textColor:  -617954  -617954
key : textColor
val : textColor:  -3523003  -3523003
key :
val : :  0.0  1.0
key : android.widget.TextView{5cb91f7 V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
val : AnimatorSet@85e68d1{
    ValueAnimator@df2666a
    :  0.0  1.0
    ObjectAnimator@b66175b, target android.widget.TextView{5cb91f7 V.ED..... ......ID 579,43-772,101 #7f0906d7 app:id/txt_Price}
    textColor:  -617954  -617954
